image_id,standard,pixel_count,percentage
1701_LdLeanColor,CdnStd0,4522,0.5
1701_LdLeanColor,CdnStd1,3692,0.41
1701_LdLeanColor,CdnStd2,16426,1.81
1701_LdLeanColor,CdnStd3,263934,29.01
1701_LdLeanColor,CdnStd4,562672,61.85
1701_LdLeanColor,CdnStd5,58423,6.42
1701_LdLeanColor,CdnStd6,25,0.0
1701_LdLeanColor,JpnStd1,834669,91.75
1701_LdLeanColor,JpnStd2,74984,8.24
1701_LdLeanColor,JpnStd3,41,0.0
1701_LdLeanColor,JpnStd4,0,0.0
1701_LdLeanColor,JpnStd5,0,0.0
1701_LdLeanColor,JpnStd6,0,0.0
2401_LdLeanColor,CdnStd0,2368,0.24
2401_LdLeanColor,CdnStd1,3888,0.39
2401_LdLeanColor,CdnStd2,14117,1.42
2401_LdLeanColor,CdnStd3,131631,13.21
2401_LdLeanColor,CdnStd4,677852,68.03
2401_LdLeanColor,CdnStd5,158506,15.91
2401_LdLeanColor,CdnStd6,7985,0.8
2401_LdLeanColor,JpnStd1,814422,81.74
2401_LdLeanColor,JpnStd2,171452,17.21
2401_LdLeanColor,JpnStd3,10472,1.05
2401_LdLeanColor,JpnStd4,1,0.0
2401_LdLeanColor,JpnStd5,0,0.0
2401_LdLeanColor,JpnStd6,0,0.0
724_LDLeanColour,CdnStd0,355,0.04
724_LDLeanColour,CdnStd1,1545,0.19
724_LDLeanColour,CdnStd2,7134,0.86
724_LDLeanColour,CdnStd3,294210,35.62
724_LDLeanColour,CdnStd4,511767,61.97
724_LDLeanColour,CdnStd5,10522,1.27
724_LDLeanColour,CdnStd6,326,0.04
724_LDLeanColour,JpnStd1,803220,97.26
724_LDLeanColour,JpnStd2,22253,2.69
724_LDLeanColour,JpnStd3,310,0.04
724_LDLeanColour,JpnStd4,51,0.01
724_LDLeanColour,JpnStd5,25,0.0
724_LDLeanColour,JpnStd6,0,0.0
1704_LdLeanColor,CdnStd0,663,0.09
1704_LdLeanColor,CdnStd1,2095,0.27
1704_LdLeanColor,CdnStd2,7396,0.96
1704_LdLeanColor,CdnStd3,56610,7.34
1704_LdLeanColor,CdnStd4,435898,56.49
1704_LdLeanColor,CdnStd5,248158,32.16
1704_LdLeanColor,CdnStd6,20884,2.71
1704_LdLeanColor,JpnStd1,476321,61.72
1704_LdLeanColor,JpnStd2,270255,35.02
1704_LdLeanColor,JpnStd3,24337,3.15
1704_LdLeanColor,JpnStd4,759,0.1
1704_LdLeanColor,JpnStd5,29,0.0
1704_LdLeanColor,JpnStd6,3,0.0
