image_id,standard,pixel_count,percentage
1701_LdLeanColor,CdnStd0,4522,0.5
1701_LdLeanColor,CdnStd1,3692,0.41
1701_LdLeanColor,CdnStd2,16426,1.81
1701_LdLeanColor,CdnStd3,263934,29.01
1701_LdLeanColor,CdnStd4,562672,61.85
1701_LdLeanColor,CdnStd5,58423,6.42
1701_LdLeanColor,CdnStd6,25,0.0
1701_LdLeanColor,JpnStd1,834669,91.75
1701_LdLeanColor,JpnStd2,74984,8.24
1701_LdLeanColor,JpnStd3,41,0.0
1701_LdLeanColor,JpnStd4,0,0.0
1701_LdLeanColor,JpnStd5,0,0.0
1701_LdLeanColor,JpnStd6,0,0.0
2401_LdLeanColor,CdnStd0,2368,0.24
2401_LdLeanColor,CdnStd1,3888,0.39
2401_LdLeanColor,CdnStd2,14117,1.42
2401_LdLeanColor,CdnStd3,131631,13.21
2401_LdLeanColor,CdnStd4,677852,68.03
2401_LdLeanColor,CdnStd5,158506,15.91
2401_LdLeanColor,CdnStd6,7985,0.8
2401_LdLeanColor,JpnStd1,814422,81.74
2401_LdLeanColor,JpnStd2,171452,17.21
2401_LdLeanColor,JpnStd3,10472,1.05
2401_LdLeanColor,JpnStd4,1,0.0
2401_LdLeanColor,JpnStd5,0,0.0
2401_LdLeanColor,JpnStd6,0,0.0
724_LDLeanColour,CdnStd0,2768,0.34
724_LDLeanColour,CdnStd1,8881,1.08
724_LDLeanColour,CdnStd2,267496,32.39
724_LDLeanColour,CdnStd3,522960,63.32
724_LDLeanColour,CdnStd4,23414,2.84
724_LDLeanColour,CdnStd5,252,0.03
724_LDLeanColour,CdnStd6,88,0.01
724_LDLeanColour,JpnStd1,825402,99.94
724_LDLeanColour,JpnStd2,347,0.04
724_LDLeanColour,JpnStd3,110,0.01
724_LDLeanColour,JpnStd4,0,0.0
724_LDLeanColour,JpnStd5,0,0.0
724_LDLeanColour,JpnStd6,0,0.0
1704_LdLeanColor,CdnStd0,350,0.05
1704_LdLeanColor,CdnStd1,1634,0.21
1704_LdLeanColor,CdnStd2,5526,0.72
1704_LdLeanColor,CdnStd3,31712,4.11
1704_LdLeanColor,CdnStd4,360735,46.75
1704_LdLeanColor,CdnStd5,334521,43.35
1704_LdLeanColor,CdnStd6,37226,4.82
1704_LdLeanColor,JpnStd1,372238,48.24
1704_LdLeanColor,JpnStd2,356878,46.25
1704_LdLeanColor,JpnStd3,41390,5.36
1704_LdLeanColor,JpnStd4,1131,0.15
1704_LdLeanColor,JpnStd5,59,0.01
1704_LdLeanColor,JpnStd6,8,0.0
